search-number,evaluation,evals-requested-so-far,passenger-number*,airplane-model*,boarding-method*,passenger-with-luggage-percent*,storing-luggage-takes-time*,random-seed,min-result,max-result,mean-result,stdev-result,final-step-result
1,1,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-849789367""",136,136,136,0,136
1,2,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-569669014""",140,140,140,0,140
1,3,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""205931548""",133,133,133,0,133
1,4,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""1220951283""",129,129,129,0,129
1,5,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-1232969477""",133,133,133,0,133
1,6,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""87393007""",137,137,137,0,137
1,7,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""934978068""",139,139,139,0,139
1,8,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""480533243""",135,135,135,0,135
1,9,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""428266344""",137,137,137,0,137
1,10,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""1092070050""",136,136,136,0,136
,,,,,"""Reverse-pyramid"" Average",,,,,,,,135.5
1,11,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""644180351""",166,166,166,0,166
1,12,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""-1523095963""",165,165,165,0,165
1,13,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""1101782605""",162,162,162,0,162
1,14,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""-1563582071""",167,167,167,0,167
1,15,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""158324828""",164,164,164,0,164
1,16,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""-732872955""",167,167,167,0,167
1,17,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""884287691""",167,167,167,0,167
1,18,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""2145895643""",166,166,166,0,166
1,19,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""1170838749""",165,165,165,0,165
1,20,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""-975782023""",167,167,167,0,167
,,,,,"""Half-block (back-to-front)"" Average",,,,,,,,165.6
1,21,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""1752295460""",157,157,157,0,157
1,22,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""-50305738""",157,157,157,0,157
1,23,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""-1062881680""",157,157,157,0,157
1,24,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""1708523300""",157,157,157,0,157
1,25,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""-1942764973""",157,157,157,0,157
1,26,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""-1795705915""",157,157,157,0,157
1,27,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""-441077106""",157,157,157,0,157
1,28,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""847976752""",157,157,157,0,157
1,29,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""-885533734""",157,157,157,0,157
1,30,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",0,FALSE,"""-1919951385""",157,157,157,0,157
,,,,,"""By-half-row-back-to-front"" Average",,,,,,,,157
1,31,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""-1187387988""",164,164,164,0,164
1,32,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""-1807268912""",160,160,160,0,160
1,33,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""1761082982""",159,159,159,0,159
1,34,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""1831697585""",161,161,161,0,161
1,35,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""-874158124""",163,163,163,0,163
1,36,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""1624478662""",165,165,165,0,165
1,37,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""-287926895""",163,163,163,0,163
