search-number,evaluation,evals-requested-so-far,passenger-number*,airplane-model*,boarding-method*,passenger-with-luggage-percent*,storing-luggage-takes-time*,random-seed,min-result,max-result,mean-result,stdev-result,final-step-result
1,1,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""-261357214""",211,211,211,0,211
1,2,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""485039304""",219,219,219,0,219
1,3,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""-292513138""",219,219,219,0,219
1,4,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""914683599""",214,214,214,0,214
1,5,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""1180960144""",216,216,216,0,216
1,6,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""1313986784""",200,200,200,0,200
1,7,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""810410911""",213,213,213,0,213
1,8,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""1164678412""",211,211,211,0,211
1,9,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""-1093782706""",211,211,211,0,211
1,10,500,162,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",0,FALSE,"""1071777711""",218,218,218,0,218
,,,,,"""Modified-optimal-method"" Average",,,,,,,,213.2
1,11,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""-659993995""",173,173,173,0,173
1,12,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""1692280789""",171,171,171,0,171
1,13,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""-948363888""",170,170,170,0,170
1,14,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""-1298350477""",171,171,171,0,171
1,15,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""-1789381741""",170,170,170,0,170
1,16,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""228808265""",169,169,169,0,169
1,17,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""747057645""",170,170,170,0,170
1,18,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""-108959340""",170,170,170,0,170
1,19,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""-101028787""",171,171,171,0,171
1,20,500,162,"""A320 (30 rows - 180 seats)""","""Back-to-front""",0,FALSE,"""764442799""",170,170,170,0,170
,,,,,"""Back-to-front"" Average",,,,,,,,170.5
1,21,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""1359862801""",181,181,181,0,181
1,22,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""969590790""",182,182,182,0,182
1,23,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""2129997146""",183,183,183,0,183
1,24,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""-874187115""",181,181,181,0,181
1,25,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""1285641209""",181,181,181,0,181
1,26,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""1031990010""",183,183,183,0,183
1,27,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""568752879""",184,184,184,0,184
1,28,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""846114054""",182,182,182,0,182
1,29,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""-1753892532""",183,183,183,0,183
1,30,500,162,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",0,FALSE,"""1356248012""",181,181,181,0,181
,,,,,"""Half-block (back-to-front)"" Average",,,,,,,,182.1
1,31,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-571236429""",195,195,195,0,195
1,32,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-1696222912""",199,199,199,0,199
1,33,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""1851363740""",198,198,198,0,198
1,34,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-1568334096""",193,193,193,0,193
1,35,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-1118598860""",196,196,196,0,196
1,36,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-851117916""",195,195,195,0,195
1,37,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-2055625170""",197,197,197,0,197
1,38,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""1929175172""",194,194,194,0,194
1,39,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""1338580351""",189,189,189,0,189
1,40,500,162,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",0,FALSE,"""-1727271312""",201,201,201,0,201
,,,,,"""Reverse-pyramid"" Average",,,,,,,,195.7
1,41,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""278620293""",219,219,219,0,219
1,42,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""2063478815""",211,211,211,0,211
1,43,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""2074532663""",210,210,210,0,210
1,44,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""1542417760""",209,209,209,0,209
1,45,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""-1690779069""",218,218,218,0,218
1,46,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""2066061976""",208,208,208,0,208
1,47,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""-485763646""",213,213,213,0,213
1,48,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""265699592""",212,212,212,0,212
1,49,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""2075124453""",212,212,212,0,212
1,50,500,162,"""A320 (30 rows - 180 seats)""","""Outside-in (WILMA)""",0,FALSE,"""1154998954""",215,215,215,0,215
,,,,,"""Outside-in (WILMA)"" Average",,,,,,,,212.7
1,51,500,162,"""A320 (30 rows - 180 seats)""","""Steffen""",0,FALSE,"""1665564978""",208,208,208,0,208
1,52,500,162,"""A320 (30 rows - 180 seats)""","""Steffen""",0,FALSE,"""997628304""",208,208,208,0,208
1,53,500,162,"""A320 (30 rows - 180 seats)""","""Steffen""",0,FALSE,"""-934824233""",208,208,208,0,208
