"search-number","evaluation","evals-requested-so-far","passenger-number*","airplane-model*","boarding-method*","passenger-with-luggage-percent*","storing-luggage-takes-time*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""-849789367""","209","209","209","0","209"
"1","2","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""-569669014""","223","223","223","0","223"
"1","3","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""205931548""","223","223","223","0","223"
"1","4","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""1220951283""","216","216","216","0","216"
"1","5","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""-1232969477""","211","211","211","0","211"
"1","6","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""87393007""","218","218","218","0","218"
"1","7","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""934978068""","228","228","228","0","228"
"1","8","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""480533243""","221","221","221","0","221"
"1","9","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""428266344""","212","212","212","0","212"
"1","10","500","108","""A320 (30 rows - 180 seats)""","""Reverse-pyramid""","100","true","""1092070050""","215","215","215","0","215"
"1","11","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""644180351""","264","264","264","0","264"
"1","12","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""-1523095963""","268","268","268","0","268"
"1","13","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""1101782605""","267","267","267","0","267"
"1","14","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""-1563582071""","279","279","279","0","279"
"1","15","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""158324828""","276","276","276","0","276"
"1","16","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""-732872955""","272","272","272","0","272"
"1","17","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""884287691""","269","269","269","0","269"
"1","18","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""2145895643""","273","273","273","0","273"
"1","19","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""1170838749""","276","276","276","0","276"
"1","20","500","108","""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""","100","true","""-975782023""","261","261","261","0","261"
"1","21","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""1752295460""","259","259","259","0","259"
"1","22","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""-50305738""","259","259","259","0","259"
"1","23","500","108","""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""","100","true","""-1062881680""","253","253","253","0","253"
