search-number,evaluation,evals-requested-so-far,passenger-number*,airplane-model*,boarding-method*,passenger-with-luggage-percent*,storing-luggage-takes-time*,random-seed,min-result,max-result,mean-result,stdev-result,final-step-result
1,1,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""-849789367""",305,305,305,0,305
1,2,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""-569669014""",316,316,316,0,316
1,3,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""205931548""",313,313,313,0,313
1,4,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""1220951283""",325,325,325,0,325
1,5,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""-1232969477""",293,293,293,0,293
1,6,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""87393007""",308,308,308,0,308
1,7,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""934978068""",309,309,309,0,309
1,8,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""480533243""",330,330,330,0,330
1,9,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""428266344""",329,329,329,0,329
1,10,500,144,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,TRUE,"""1092070050""",333,333,333,0,333
,,,,,"""Reverse-pyramid"" Average",,,,,,,,316.1
1,11,500,144,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,TRUE,"""644180351""",284,284,284,0,284
1,12,500,144,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,TRUE,"""-1523095963""",280,280,280,0,280
1,13,500,144,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,TRUE,"""1101782605""",293,293,293,0,293
1,14,500,144,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,TRUE,"""-1563582071""",293,293,293,0,293
1,15,500,144,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,TRUE,"""158324828""",291,291,291,0,291
