search-number,evaluation,evals-requested-so-far,passenger-number*,airplane-model*,boarding-method*,passenger-with-luggage-percent*,storing-luggage-takes-time*,random-seed,min-result,max-result,mean-result,stdev-result,final-step-result
1,1,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""-849789367""",193,193,193,0,193
1,2,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""-569669014""",212,212,212,0,212
1,3,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""205931548""",208,208,208,0,208
1,4,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""1220951283""",201,201,201,0,201
1,5,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""-1232969477""",204,204,204,0,204
1,6,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""87393007""",206,206,206,0,206
1,7,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""934978068""",216,216,216,0,216
1,8,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""480533243""",205,205,205,0,205
1,9,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""428266344""",195,195,195,0,195
1,10,500,108,"""A320 (30 rows - 180 seats)""","""Reverse-pyramid""",100,FALSE,"""1092070050""",199,199,199,0,199
,,,,,"""Reverse-pyramid"" Average",,,,,,,,203.9
1,11,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""644180351""",239,239,239,0,239
1,12,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""-1523095963""",249,249,249,0,249
1,13,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""1101782605""",244,244,244,0,244
1,14,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""-1563582071""",257,257,257,0,257
1,15,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""158324828""",254,254,254,0,254
1,16,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""-732872955""",253,253,253,0,253
1,17,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""884287691""",246,246,246,0,246
1,18,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""2145895643""",253,253,253,0,253
1,19,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""1170838749""",248,248,248,0,248
1,20,500,108,"""A320 (30 rows - 180 seats)""","""Half-block (back-to-front)""",100,FALSE,"""-975782023""",239,239,239,0,239
,,,,,"""Half-block (back-to-front)"" Average",,,,,,,,248.2
1,21,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""1752295460""",238,238,238,0,238
1,22,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""-50305738""",240,240,240,0,240
1,23,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""-1062881680""",230,230,230,0,230
1,24,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""1708523300""",240,240,240,0,240
1,25,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""-1942764973""",244,244,244,0,244
1,26,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""-1795705915""",240,240,240,0,240
1,27,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""-441077106""",239,239,239,0,239
1,28,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""847976752""",235,235,235,0,235
1,29,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""-885533734""",237,237,237,0,237
1,30,500,108,"""A320 (30 rows - 180 seats)""","""By-half-row-back-to-front""",100,FALSE,"""-1919951385""",240,240,240,0,240
,,,,,"""By-half-row-back-to-front"" Average",,,,,,,,238.3
1,31,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""-1187387988""",251,251,251,0,251
1,32,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""-1807268912""",262,262,262,0,262
1,33,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""1761082982""",237,237,237,0,237
1,34,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""1831697585""",230,230,230,0,230
1,35,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""-874158124""",243,243,243,0,243
1,36,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""1624478662""",232,232,232,0,232
1,37,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""-287926895""",246,246,246,0,246
1,38,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""2062605101""",216,216,216,0,216
1,39,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""-754319958""",223,223,223,0,223
1,40,500,108,"""A320 (30 rows - 180 seats)""","""Modified-optimal-method""",100,FALSE,"""1008496230""",252,252,252,0,252
,,,,,"""Modified-optimal-method"" Average",,,,,,,,239.2
1,41,500,108,"""A320 (30 rows - 180 seats)""","""Steffen""",100,FALSE,"""-394596568""",234,234,234,0,234
